Url,Type,Description (optional)
https://cips.cardano.org/,Website,CIP Standards website
https://github.com/cardano-foundation/CIPs,Github,CIP Github
https://www.nginx.com/wp-content/uploads/2017/07/Complete-NGINX-Cookbook-2019.pdf,Website,nginx cookbook
https://www.freecodecamp.org/news/the-nginx-handbook/,Website,nginx handbook
http://www.dest-unreach.org/socat/doc/socat.html#EXAMPLES,Website,socat networking
https://www.hackingarticles.in/socat-for-pentester/,Website,more socat
https://www.safe.security/assets/img/research-paper/pdf/A%20Beginners%20Guide%20to%20Linux%20firewall.pdf,Website,UFW firewall Guide
https://manpages.ubuntu.com/manpages/jammy/en/man8/ufw.8.html,Website,UFW manpage
https://manpages.ubuntu.com/manpages/bionic/man8/rinetd.8.html,Website,rinetd networking
https://www.hackingarticles.in/port-forwarding-tunnelling-cheatsheet/,Website,port forwarding
https://www.hackingarticles.in/comprehensive-guide-to-tcpdump-part-1/,Website,tcpdump 1
https://www.hackingarticles.in/comprehensive-guide-to-tcpdump-part-2/,Website,tcpdump 2
https://www.hackingarticles.in/comprehensive-guide-to-tcpdump-part-3/,Website,tcpdump 3
https://www.hackingarticles.in/network-scanning-using-nmap-beginner-guide/,Website,nmap beginners
https://www.hackingarticles.in/nmap-for-pentester-host-discovery/,Website,nmap 1
https://www.hackingarticles.in/nmap-for-pentester-port-status/,Website,nmap 2
https://www.hackingarticles.in/nmap-for-pentester-ping-scan/,Website,nmap 3
https://www.hackingarticles.in/nmap-for-pentester-timing-scan/,Website,nmap 4
https://www.hackingarticles.in/understanding-guide-nmap-firewall-scan-part-1/,Website,nmap/firewall 1
https://www.hackingarticles.in/understanding-guide-nmap-firewall-scan-part-2/,Website,nmap/firewall 2
https://docs.oracle.com/en-us/iaas/Content/Network/Concepts/overview.htm,Website,Oracle Cloud Networking
https://docs.oracle.com/en-us/iaas/Content/Block/Concepts/overview.htm#Overview_of_Block_Volume,Website,
https://docs.oracle.com/en-us/iaas/Content/Block/Tasks/creatingavolume.htm#Creating_a_Volume,Website,
https://docs.oracle.com/en-us/iaas/Content/Block/Tasks/attachingavolume.htm#Attaching_a_Volume,Website,
https://docs.oracle.com/en-us/iaas/Content/Block/Tasks/connectingtoavolume.htm#Connecting_to_a_Volume,Website,
https://docs.oracle.com/en-us/iaas/Content/Block/Concepts/blockvolumebackups.htm#Overview_of_Block_Volume_Backups,Website,
https://docs.oracle.com/en-us/iaas/Content/Block/Tasks/schedulingvolumebackups.htm#PolicyBased_Backups,Website,
https://docs.oracle.com/en-us/iaas/Content/Block/Tasks/copyingvolumebackupcrossregion.htm#Copying_a_Volume_Backup_Between_Regions,Website,
https://docs.oracle.com/en-us/iaas/Content/Block/Concepts/volumegroups.htm#Volume_Groups,Website,
https://docs.oracle.com/en-us/iaas/Content/Block/Concepts/volumereplication.htm#volumereplication,Website,
https://docs.oracle.com/en-us/iaas/Content/Block/Tasks/resizingavolume.htm#Resizing_a_Volume,Website,
https://docs.oracle.com/en-us/iaas/Content/Block/Concepts/bootvolumes.htm#Boot_Volumes,Website,
https://docs.oracle.com/en-us/iaas/Content/Block/Tasks/attachingabootvolume.htm#Attaching_a_Boot_Volume,Website,
https://docs.oracle.com/en-us/iaas/Content/Block/Tasks/backingupabootvolume.htm#Backing_Up_a_Boot_Volume,Website,
https://docs.oracle.com/en-us/iaas/Content/Block/Tasks/detachingabootvolume.htm#Detaching_a_Boot_Volume,Website,
